episode,episode_length,epsilon,timestamp,total_reward
209,97,0.9793158679083295,2026-01-14T19:56:08.287824,0.0
210,12,0.9792179363215386,2026-01-14T19:56:08.287824,0.0
211,19,0.9791200145279065,2026-01-14T19:56:08.287824,0.0
212,39,0.9790221025264537,2026-01-14T19:56:08.288825,0.0
213,17,0.9789242003162011,2026-01-14T19:56:08.288825,0.0
214,6,0.9788263078961694,2026-01-14T19:56:08.288825,0.0
215,20,0.9787284252653798,2026-01-14T19:56:08.288825,0.0
216,33,0.9786305524228534,2026-01-14T19:56:08.288825,0.0
217,13,0.9785326893676111,2026-01-14T19:56:08.288825,0.0
218,22,0.9784348360986743,2026-01-14T19:56:08.289828,0.0
219,15,0.9783369926150645,2026-01-14T19:56:08.289828,0.0
220,33,0.9782391589158029,2026-01-14T19:56:08.289828,0.0
221,23,0.9781413349999114,2026-01-14T19:56:08.289828,0.0
222,53,0.9780435208664114,2026-01-14T19:56:08.290826,0.0
223,27,0.9779457165143248,2026-01-14T19:56:08.290826,0.0
224,30,0.9778479219426734,2026-01-14T19:56:08.291815,0.0
225,7,0.9777501371504792,2026-01-14T19:56:08.291815,0.0
226,18,0.9776523621367642,2026-01-14T19:56:08.291815,0.0
227,8,0.9775545969005506,2026-01-14T19:56:08.291815,0.0
228,35,0.9774568414408605,2026-01-14T19:56:08.291815,0.0
229,12,0.9773590957567164,2026-01-14T19:56:08.292825,0.0
230,36,0.9772613598471408,2026-01-14T19:56:08.292825,0.0
231,66,0.9771636337111561,2026-01-14T19:56:08.293826,0.0
232,21,0.977065917347785,2026-01-14T19:56:08.293826,0.0
233,62,0.9769682107560502,2026-01-14T19:56:08.294825,0.0
234,12,0.9768705139349746,2026-01-14T19:56:08.294825,0.0
235,22,0.9767728268835811,2026-01-14T19:56:08.294825,0.0
236,19,0.9766751496008927,2026-01-14T19:56:08.294825,0.0
237,61,0.9765774820859326,2026-01-14T19:56:08.295826,0.0
238,69,0.9764798243377241,2026-01-14T19:56:08.296820,0.0
239,83,0.9763821763552903,2026-01-14T19:56:08.297827,0.0
240,69,0.9762845381376548,2026-01-14T19:56:08.298827,0.0
241,11,0.976186909683841,2026-01-14T19:56:08.298827,0.0
242,60,0.9760892909928727,2026-01-14T19:56:08.299848,0.0
243,12,0.9759916820637734,2026-01-14T19:56:08.299848,0.0
244,29,0.975894082895567,2026-01-14T19:56:08.299848,0.0
245,59,0.9757964934872775,2026-01-14T19:56:08.300843,0.0
246,17,0.9756989138379287,2026-01-14T19:56:08.300843,0.0
247,75,0.975601343946545,2026-01-14T19:56:08.301834,0.0
248,47,0.9755037838121503,2026-01-14T19:56:08.301834,0.0
249,27,0.9754062334337691,2026-01-14T19:56:08.301834,0.0
250,22,0.9753086928104258,2026-01-14T19:56:08.302841,0.0
251,56,0.9752111619411448,2026-01-14T19:56:08.302841,0.0
252,37,0.9751136408249507,2026-01-14T19:56:08.303844,0.0
253,71,0.9750161294608681,2026-01-14T19:56:08.304844,0.0
254,23,0.974918627847922,2026-01-14T19:56:08.304844,0.0
255,35,0.9748211359851373,2026-01-14T19:56:08.304844,0.0
256,42,0.9747236538715388,2026-01-14T19:56:08.305844,0.0
257,38,0.9746261815061517,2026-01-14T19:56:08.305844,0.0
258,56,0.9745287188880011,2026-01-14T19:56:08.306844,0.0
259,10,0.9744312660161123,2026-01-14T19:56:08.306844,0.0
260,24,0.9743338228895106,2026-01-14T19:56:08.306844,0.0
261,34,0.9742363895072217,2026-01-14T19:56:08.307844,0.0
262,56,0.974138965868271,2026-01-14T19:56:08.307844,0.0
263,30,0.9740415519716842,2026-01-14T19:56:08.307844,0.0
264,98,0.973944147816487,2026-01-14T19:56:08.308844,0.0
265,42,0.9738467534017053,2026-01-14T19:56:08.309844,0.0
266,25,0.9737493687263652,2026-01-14T19:56:08.309844,0.0
267,42,0.9736519937894925,2026-01-14T19:56:08.310848,0.0
268,6,0.9735546285901135,2026-01-14T19:56:08.310848,0.0
269,22,0.9734572731272545,2026-01-14T19:56:08.310848,0.0
270,21,0.9733599273999418,2026-01-14T19:56:08.310848,0.0
271,12,0.9732625914072018,2026-01-14T19:56:08.311834,0.0
272,97,0.9731652651480611,2026-01-14T19:56:08.312835,0.0
273,14,0.9730679486215463,2026-01-14T19:56:08.312835,0.0
274,35,0.9729706418266841,2026-01-14T19:56:08.313845,0.0
275,100,0.9728733447625014,2026-01-14T19:56:08.314369,0.0
276,82,0.9727760574280252,2026-01-14T19:56:08.315388,0.0
277,77,0.9726787798222825,2026-01-14T19:56:08.316388,0.0
278,56,0.9725815119443002,2026-01-14T19:56:08.316388,0.0
279,11,0.9724842537931058,2026-01-14T19:56:08.316388,0.0
280,28,0.9723870053677265,2026-01-14T19:56:08.317387,0.0
281,27,0.9722897666671897,2026-01-14T19:56:08.317387,0.0
282,13,0.9721925376905229,2026-01-14T19:56:08.317387,0.0
283,40,0.9720953184367539,2026-01-14T19:56:08.318387,0.0
284,31,0.9719981089049102,2026-01-14T19:56:08.318387,0.0
285,95,0.9719009090940197,2026-01-14T19:56:08.319387,0.0
286,23,0.9718037190031104,2026-01-14T19:56:08.319387,0.0
287,10,0.97170653863121,2026-01-14T19:56:08.319387,0.0
288,47,0.9716093679773469,2026-01-14T19:56:08.320388,0.0
289,30,0.9715122070405492,2026-01-14T19:56:08.320388,0.0
290,59,0.9714150558198451,2026-01-14T19:56:08.321387,0.0
291,27,0.9713179143142632,2026-01-14T19:56:08.321387,0.0
292,34,0.9712207825228317,2026-01-14T19:56:08.321387,0.0
293,17,0.9711236604445794,2026-01-14T19:56:08.322379,0.0
294,7,0.971026548078535,2026-01-14T19:56:08.322379,0.0
295,15,0.9709294454237271,2026-01-14T19:56:08.322379,0.0
296,30,0.9708323524791846,2026-01-14T19:56:08.322379,0.0
297,17,0.9707352692439367,2026-01-14T19:56:08.322379,0.0
298,15,0.9706381957170124,2026-01-14T19:56:08.323379,0.0
299,41,0.9705411318974407,2026-01-14T19:56:08.323379,0.0
300,70,0.970444077784251,2026-01-14T19:56:08.324379,0.0
301,33,0.9703470333764725,2026-01-14T19:56:08.324379,0.0
302,15,0.9702499986731349,2026-01-14T19:56:08.324379,0.0
303,55,0.9701529736732676,2026-01-14T19:56:08.325382,0.0
304,25,0.9700559583759003,2026-01-14T19:56:08.325382,0.0
305,12,0.9699589527800627,2026-01-14T19:56:08.325382,0.0
306,13,0.9698619568847847,2026-01-14T19:56:08.326380,0.0
307,100,0.9697649706890963,2026-01-14T19:56:08.327379,0.0
308,26,0.9696679941920274,2026-01-14T19:56:08.327379,0.0
309,34,0.9695710273926083,2026-01-14T19:56:08.328379,0.0
310,44,0.969474070289869,2026-01-14T19:56:08.328379,0.0
311,35,0.9693771228828401,2026-01-14T19:56:08.329379,0.0
312,16,0.9692801851705518,2026-01-14T19:56:08.329379,0.0
313,25,0.9691832571520348,2026-01-14T19:56:08.329379,0.0
314,17,0.9690863388263196,2026-01-14T19:56:08.329379,0.0
315,9,0.9689894301924369,2026-01-14T19:56:08.329379,0.0
316,13,0.9688925312494177,2026-01-14T19:56:08.330380,0.0
317,13,0.9687956419962928,2026-01-14T19:56:08.330380,0.0
318,22,0.9686987624320932,2026-01-14T19:56:08.330380,0.0
319,36,0.9686018925558499,2026-01-14T19:56:08.331391,0.0
320,26,0.9685050323665944,2026-01-14T19:56:08.331391,0.0
321,17,0.9684081818633578,2026-01-14T19:56:08.331391,0.0
322,21,0.9683113410451715,2026-01-14T19:56:08.331391,0.0
323,77,0.968214509911067,2026-01-14T19:56:08.332394,0.0
324,8,0.9681176884600758,2026-01-14T19:56:08.332394,0.0
325,19,0.9680208766912298,2026-01-14T19:56:08.333393,0.0
326,69,0.9679240746035607,2026-01-14T19:56:08.333393,0.0
327,26,0.9678272821961004,2026-01-14T19:56:08.334388,0.0
328,10,0.9677304994678808,2026-01-14T19:56:08.334388,0.0
329,15,0.967633726417934,2026-01-14T19:56:08.334388,0.0
330,17,0.9675369630452922,2026-01-14T19:56:08.334388,0.0
331,24,0.9674402093489878,2026-01-14T19:56:08.334388,0.0
332,27,0.9673434653280529,2026-01-14T19:56:08.335388,0.0
333,41,0.9672467309815201,2026-01-14T19:56:08.335388,0.0
334,22,0.967150006308422,2026-01-14T19:56:08.335388,0.0
335,37,0.9670532913077912,2026-01-14T19:56:08.336386,0.0
336,43,0.9669565859786604,2026-01-14T19:56:08.336386,0.0
337,11,0.9668598903200626,2026-01-14T19:56:08.336386,0.0
338,26,0.9667632043310306,2026-01-14T19:56:08.336386,0.0
339,21,0.9666665280105975,2026-01-14T19:56:08.336386,0.0
340,18,0.9665698613577964,2026-01-14T19:56:08.336386,0.0
341,9,0.9664732043716606,2026-01-14T19:56:08.336386,0.0
342,55,0.9663765570512235,2026-01-14T19:56:08.337907,0.0
343,19,0.9662799193955184,2026-01-14T19:56:08.337907,0.0
344,29,0.9661832914035788,2026-01-14T19:56:08.338925,0.0
345,14,0.9660866730744385,2026-01-14T19:56:08.338925,0.0
346,24,0.9659900644071311,2026-01-14T19:56:08.338925,0.0
347,46,0.9658934654006904,2026-01-14T19:56:08.338925,0.0
