episode,episode_length,epsilon,loss,timestamp,total_reward
178,5,0.40974000909221303,0.001131304302980425,2026-01-15T15:43:59.741793,0.0
179,12,0.40769130904675194,0.000729647021908022,2026-01-15T15:43:59.763793,1.0
180,7,0.40565285250151817,0.0006791807239278569,2026-01-15T15:43:59.777646,1.0
181,6,0.4036245882390106,0.0006646451243068441,2026-01-15T15:43:59.789281,0.0
182,18,0.4016064652978155,0.0006284743675132632,2026-01-15T15:43:59.822821,1.0
183,8,0.3995984329713264,0.0006247217862619436,2026-01-15T15:43:59.838497,1.0
184,6,0.3976004408064698,0.0006234150161253637,2026-01-15T15:43:59.850497,1.0
185,8,0.39561243860243744,0.0006670752263380564,2026-01-15T15:43:59.865519,0.0
186,4,0.3936343764094253,0.0006843535776351928,2026-01-15T15:43:59.873048,0.0
187,14,0.39166620452737816,0.0007034360550824204,2026-01-15T15:43:59.900568,0.0
188,4,0.3897078735047413,0.0007064087355320225,2026-01-15T15:43:59.907259,0.0
189,3,0.3877593341372176,0.00070654277511494,2026-01-15T15:43:59.912272,0.0
190,9,0.3858205374665315,0.0007103863078009453,2026-01-15T15:43:59.929801,1.0
191,12,0.38389143477919885,0.0007006245906450204,2026-01-15T15:43:59.953819,1.0
192,5,0.3819719776053028,0.0006952284647923079,2026-01-15T15:43:59.963826,0.0
193,6,0.3800621177172763,0.0007817004806202021,2026-01-15T15:43:59.977357,1.0
194,31,0.37816180712868996,0.0011629942265062709,2026-01-15T15:44:00.043761,0.0
195,19,0.37627099809304654,0.0012502129660060745,2026-01-15T15:44:00.080351,0.0
196,8,0.3743896431025813,0.0013262748319175443,2026-01-15T15:44:00.096354,0.0
197,8,0.37251769488706843,0.0013566339337194222,2026-01-15T15:44:00.111358,1.0
198,4,0.3706551064126331,0.0013685596907089348,2026-01-15T15:44:00.119861,0.0
199,8,0.36880183088056995,0.00137897857970529,2026-01-15T15:44:00.135864,1.0
200,6,0.3669578217261671,0.0013863814390060725,2026-01-15T15:44:00.147811,0.0
201,11,0.36512303261753626,0.0014025738355121576,2026-01-15T15:44:00.191838,0.0
202,12,0.3632974174544486,0.0013569050395744852,2026-01-15T15:44:00.214611,0.0
203,22,0.3614809303671764,0.001002844382019248,2026-01-15T15:44:00.257618,0.0
204,13,0.3596735257153405,0.0009388152929022908,2026-01-15T15:44:00.283121,1.0
205,9,0.3578751580867638,0.0008453612528683152,2026-01-15T15:44:00.300656,1.0
206,4,0.35608578229633,0.0007933842137572356,2026-01-15T15:44:00.308660,0.0
207,2,0.3543053533848483,0.0007779863860923797,2026-01-15T15:44:00.312660,0.0
208,3,0.35253382661792404,0.0007671126725472277,2026-01-15T15:44:00.318660,0.0
209,23,0.3507711574848344,0.0006755631348642055,2026-01-15T15:44:00.360921,1.0
210,7,0.34901730169741024,0.0006574856096995063,2026-01-15T15:44:00.375082,1.0
211,3,0.3472722151889232,0.0006520731633781906,2026-01-15T15:44:00.380082,0.0
212,17,0.3455358541129786,0.0004121792665182511,2026-01-15T15:44:00.412688,0.0
213,16,0.3438081748424137,0.0003591038513195599,2026-01-15T15:44:00.443258,0.0
214,11,0.3420891339682016,0.0002985297778877793,2026-01-15T15:44:00.464707,1.0
215,10,0.3403786882983606,0.00028559125623814905,2026-01-15T15:44:00.483839,1.0
216,13,0.3386767948568688,0.00029987793407144637,2026-01-15T15:44:00.507775,0.0
217,6,0.33698341088258443,0.00030920141302431147,2026-01-15T15:44:00.519779,0.0
218,4,0.3352984938281715,0.0003102071583680299,2026-01-15T15:44:00.527807,0.0
219,9,0.33362200135903064,0.0003295156375725128,2026-01-15T15:44:00.547148,1.0
220,2,0.33195389135223546,0.0003333161045384259,2026-01-15T15:44:00.551167,0.0
221,9,0.3302941218954743,0.00034437811026236884,2026-01-15T15:44:00.568301,1.0
222,6,0.32864265128599696,0.00031831511012569535,2026-01-15T15:44:00.581308,1.0
223,17,0.326999438029567,0.0001921107718953863,2026-01-15T15:44:00.613313,1.0
224,2,0.3253644408394192,0.0001841787601733813,2026-01-15T15:44:00.616313,0.0
225,25,0.3237376186352221,0.0001269179654536856,2026-01-15T15:44:00.661757,0.0
226,2,0.322118930542046,0.0001257297636675503,2026-01-15T15:44:00.666757,0.0
227,12,0.32050833588933575,0.00010023763684330333,2026-01-15T15:44:00.690049,0.0
228,17,0.31890579420988907,7.249620066431816e-05,2026-01-15T15:44:00.722218,0.0
229,4,0.3173112652388396,6.305374125076924e-05,2026-01-15T15:44:00.731219,0.0
230,5,0.3157247089126454,5.296235291098128e-05,2026-01-15T15:44:00.740723,0.0
231,9,0.3141460853680822,4.162525965512032e-05,2026-01-15T15:44:00.757728,1.0
232,7,0.3125753549412418,3.8188371991054734e-05,2026-01-15T15:44:00.771886,1.0
233,8,0.31101247816653554,3.323556716168241e-05,2026-01-15T15:44:00.788376,1.0
234,8,0.30945741577570285,2.9992176541782102e-05,2026-01-15T15:44:00.804377,1.0
235,6,0.3079101286968243,2.8891515494251508e-05,2026-01-15T15:44:00.816382,1.0
236,7,0.3063705780533402,2.7976882847724482e-05,2026-01-15T15:44:00.829907,0.0
237,4,0.30483872516307353,2.7552517885851557e-05,2026-01-15T15:44:00.836906,0.0
238,8,0.3033145315372582,2.7025234949178412e-05,2026-01-15T15:44:00.852416,0.0
239,6,0.3017979588795719,2.5895028811646626e-05,2026-01-15T15:44:00.863420,0.0
240,2,0.30028896908517405,2.5339407238789134e-05,2026-01-15T15:44:00.867421,0.0
241,5,0.2987875242397482,2.5070387428058892e-05,2026-01-15T15:44:00.876933,0.0
242,8,0.29729358661854943,2.395564217295032e-05,2026-01-15T15:44:00.891568,1.0
243,6,0.29580711868545667,2.3288058814614486e-05,2026-01-15T15:44:00.903573,1.0
244,7,0.2943280830920294,2.2233130293898286e-05,2026-01-15T15:44:00.916575,0.0
245,4,0.29285644267656924,2.0968474298115326e-05,2026-01-15T15:44:00.923917,0.0
246,8,0.2913921604631864,2.0901076479731272e-05,2026-01-15T15:44:00.939431,0.0
247,2,0.28993519966087045,2.1011003329931555e-05,2026-01-15T15:44:00.943430,0.0
